comment_id,코더,다른 항목,댓글,태도(코더),관심사(코더),집값 전망(코더),통장 행동(코더),태도(gpt-oss-120b),관심사(gpt-oss-120b),집값 전망(gpt-oss-120b),통장 행동(gpt-oss-120b)
UgzZjtSxNA89d_bfeoh4AaABAg,팀원1,관심사,1인가구는 무조건 후순위라서 걍 무주택으로 계속 살고있음,N,DC,0,0,N,D,0,0
Ugz_3qwX8Tiwj9yl3gB4AaABAg,claude,관심사,대 재 명,X,F,0,0,X,,0,0
Ugz_3qwX8Tiwj9yl3gB4AaABAg,팀원1,관심사,대 재 명,X,F,0,0,X,,0,0
UgzgAVyjGoh5RbkFhiB4AaABAg,claude,관심사,댓글들 보면 죄다 서울이냐? 애초에 그걸 싸게 사면 니들이 나머지 땅값 프리미엄 다먹는 구조인데 그것도 수십억을 편하게 꿀꺽하려는게 더 도둑놈 심보 아님?,X,A,0,0,X,FH,0,0
UgzgAVyjGoh5RbkFhiB4AaABAg,팀원1,관심사,댓글들 보면 죄다 서울이냐? 애초에 그걸 싸게 사면 니들이 나머지 땅값 프리미엄 다먹는 구조인데 그것도 수십억을 편하게 꿀꺽하려는게 더 도둑놈 심보 아님?,X,HD,0,0,X,FH,0,0
UgzgkajgZaf6ENe3wPx4AaABAg,claude,관심사,청약이 어차피 안될테지만 당첨돼도 돈이 없는데 ㅋㅋㅋ 무슨,N,AC,0,0,N,C,0,0
UgzgkajgZaf6ENe3wPx4AaABAg,팀원1,관심사,청약이 어차피 안될테지만 당첨돼도 돈이 없는데 ㅋㅋㅋ 무슨,N,A,0,0,N,C,0,0
Ugzp65RrvHHah9URnct4AaABAg,claude,태도,분양 줬다는 수치가 있어야 건물을 더 지을 수 있을테니...,X,,0,0,M,,0,0
Ugzp65RrvHHah9URnct4AaABAg,팀원1,태도,분양 줬다는 수치가 있어야 건물을 더 지을 수 있을테니...,X,,0,0,M,,0,0
UgzpxVUjm6RuICTaVmV4AaABAg,팀원1,관심사,모든아파트가 거진 10~20억하니 못사지 정부가 어떻게해야함,N,A,0,0,N,AF,0,0
UgzuMdNN_CkYJKIkCFd4AaABAg,claude,태도,와청약통장을 아직도 가지고있는분이있었군,N,,0,0,M,,0,0
UgzuMdNN_CkYJKIkCFd4AaABAg,팀원1,태도,와청약통장을 아직도 가지고있는분이있었군,N,,0,0,M,,0,0
Ugzuj3KbeCZDM7errW94AaABAg,claude,"태도, 통장 행동","청약 통장에 얼마나 들어 있길래 해지를 하지 옛날에 해서 월 10만원씩 10년을 해도 1200만원인데 20년이면 2400만원이고
그리고 자본금도 없이 6억이상 대출 받는 것도 말이 안되는거 아닌가 ㅋㅋㅋ",M,AB,0,K,N,AB,0,0
